Period,Account,Amount
2024-05,6100.05,23149.16
2024-05,6100.06,170746.24
2024-05,6100.07,34351.65
2024-05,7100.01,312859.56
2024-05,7100.02,52018.4
2024-05,7100.03,273211.61
2024-05,7100.04,166807.91
2024-05,7100.05,138672.89
2024-05,7100.06,39391.79
2024-05,7100.07,76290.62
2024-05,7100.08,115896.71
2024-05,7100.09,145491.81
2024-05,7100.10,83111.27
2024-05,8100.01,168322.25
2024-05,8100.02,84815.0
2024-05,8100.03,62773.26
2024-05,8100.04,48663.87
2024-05,8100.05,87762.94
2024-05,8100.06,35102.65
2024-05,8100.07,32338.08
2024-05,8100.08,23225.34
2024-05,9100.01,5716.8
2024-05,9100.02,1381.42
2024-05,9100.03,1914.04
2024-05,9100.04,800.59
2024-05,9100.05,3548.79
2024-06,5100.01,722092.37
2024-06,5100.02,510305.29
2024-06,5100.03,378606.66
2024-06,5100.04,438255.38
2024-06,5100.05,278819.01
2024-06,5100.06,215673.57
2024-06,5100.07,140756.33
2024-06,5100.08,59872.79
2024-06,5200.01,48949.72
2024-06,5200.02,16322.79
2024-06,5200.03,25046.11
2024-06,5300.01,247640.19
2024-06,5300.02,93846.1
2024-06,5300.03,53177.73
2024-06,5400.01,82085.98
2024-06,5400.02,58055.14
2024-06,5400.03,71287.27
2024-06,5400.04,17417.73
2024-06,6100.01,252725.26
2024-06,6100.02,49175.48
2024-06,6100.03,100009.93
2024-06,6100.04,221884.95
2024-06,6100.05,24932.85
2024-06,6100.06,171710.2
2024-06,6100.07,29486.04
2024-06,7100.01,307780.57
2024-06,7100.02,50400.45
2024-06,7100.03,272650.76
2024-06,7100.04,162494.35
2024-06,7100.05,136421.66
2024-06,7100.06,38818.6
2024-06,7100.07,70415.99
2024-06,7100.08,110707.38
2024-06,7100.09,139082.49
2024-06,7100.10,83242.45
2024-06,8100.01,163038.22
2024-06,8100.02,76821.42
2024-06,8100.03,59732.83
2024-06,8100.04,47737.02
2024-06,8100.05,91846.91
2024-06,8100.06,32258.71
2024-06,8100.07,28735.89
2024-06,8100.08,22487.2
2024-06,9100.01,5940.71
2024-06,9100.02,1252.42
2024-06,9100.03,2104.55
2024-06,9100.04,769.09
2024-06,9100.05,3414.43
2024-07,5100.01,724340.97
2024-07,5100.02,487131.04
2024-07,5100.03,366020.7
2024-07,5100.04,429274.72
2024-07,5100.05,278930.79
2024-07,5100.06,211118.19
2024-07,5100.07,138666.2
2024-07,5100.08,60519.53
2024-07,5200.01,48756.96
2024-07,5200.02,15779.52
2024-07,5200.03,24278.33
2024-07,5300.01,246354.08
2024-07,5300.02,92409.2
2024-07,5300.03,50860.03
2024-07,5400.01,77818.42
2024-07,5400.02,54679.5
2024-07,5400.03,64369.73
2024-07,5400.04,16287.71
2024-07,6100.01,247435.88
2024-07,6100.02,51572.51
2024-07,6100.03,88300.69
2024-07,6100.04,195483.64
2024-07,6100.05,20687.29
2024-07,6100.06,148842.43
2024-07,6100.07,26862.31
2024-07,7100.01,299256.16
2024-07,7100.02,51656.48
2024-07,7100.03,283897.65
2024-07,7100.04,157325.28
2024-07,7100.05,132643.27
2024-07,7100.06,33641.24
2024-07,7100.07,59464.78
2024-07,7100.08,118116.14
2024-07,7100.09,139962.42
2024-07,7100.10,73491.95
2024-07,8100.01,148683.01
2024-07,8100.02,72941.6
2024-07,8100.03,56460.61
2024-07,8100.04,41177.73
2024-07,8100.05,73609.01
2024-07,8100.06,30113.06
2024-07,8100.07,27270.34
2024-07,8100.08,21722.54
2024-07,9100.01,5287.95
2024-07,9100.02,1163.14
2024-07,9100.03,1914.03
2024-07,9100.04,754.8
2024-07,9100.05,3013.62
2024-08,5100.01,657876.51
2024-08,5100.02,461217.57
2024-08,5100.03,339624.96
2024-08,5100.04,399100.93
2024-08,5100.05,268352.44
2024-08,5100.06,205187.38
2024-08,5100.07,132405.86
2024-08,5100.08,54688.29
2024-08,5200.01,45815.89
2024-08,5200.02,15359.59
2024-08,5200.03,22502.06
2024-08,5300.01,236426.67
2024-08,5300.02,85164.29
2024-08,5300.03,47382.56
2024-08,5400.01,75710.98
2024-08,5400.02,52771.04
2024-08,5400.03,62062.06
2024-08,5400.04,16002.31
2024-08,6100.01,219872.99
2024-08,6100.02,42727.49
2024-08,6100.03,77849.45
2024-08,6100.04,189092.25
2024-08,6100.05,19232.89
2024-08,6100.06,135441.49
2024-08,6100.07,26467.88
2024-08,7100.01,281679.5
2024-08,7100.02,47880.51
2024-08,7100.03,262328.96
2024-08,7100.04,145385.69
2024-08,7100.05,124852.54
2024-08,7100.06,30043.61
2024-08,7100.07,60689.01
2024-08,7100.08,101511.04
2024-08,7100.09,119242.65
2024-08,7100.10,72756.87
2024-08,8100.01,163979.34
2024-08,8100.02,69026.77
2024-08,8100.03,57528.5
2024-08,8100.04,39400.93
2024-08,8100.05,79350.47
2024-08,8100.06,31019.76
2024-08,8100.07,24186.86
2024-08,8100.08,21143.61
2024-08,9100.01,4715.43
2024-08,9100.02,1151.64
2024-08,9100.03,1650.27
2024-08,9100.04,762.75
2024-08,9100.05,3039.77
2024-09,5100.01,781528.33
2024-09,5100.02,520094.3
2024-09,5100.03,402606.44
2024-09,5100.04,444387.55
2024-09,5100.05,305683.82
2024-09,5100.06,230584.25
2024-09,5100.07,152538.66
2024-09,5100.08,61847.51
2024-09,5200.01,53855.24
2024-09,5200.02,18320.16
2024-09,5200.03,27074.87
2024-09,5300.01,275478.87
2024-09,5300.02,100236.6
2024-09,5300.03,56099.68
2024-09,5400.01,88470.01
2024-09,5400.02,61775.6
2024-09,5400.03,75556.37
2024-09,5400.04,18408.26
2024-09,6100.01,329294.38
2024-09,6100.02,61757.16
2024-09,6100.03,107158.01
2024-09,6100.04,255593.19
2024-09,6100.05,25630.52
2024-09,6100.06,204273.24
2024-09,6100.07,38672.39
2024-09,7100.01,323492.88
2024-09,7100.02,58771.81
2024-09,7100.03,315760.87
2024-09,7100.04,206259.34
2024-09,7100.05,143386.04
2024-09,7100.06,41128.21
2024-09,7100.07,76486.18
2024-09,7100.08,133528.66
2024-09,7100.09,153545.39
2024-09,7100.10,96597.92
2024-09,8100.01,186095.88
2024-09,8100.02,85560.83
2024-09,8100.03,76407.07
2024-09,8100.04,53644.1
2024-09,8100.05,101560.21
2024-09,8100.06,37677.87
2024-09,8100.07,32348.37
2024-09,8100.08,25453.76
2024-09,9100.01,6292.03
2024-09,9100.02,1567.99
2024-09,9100.03,2467.28
2024-09,9100.04,1038.21
2024-09,9100.05,3923.96
2024-10,5100.01,750561.67
2024-10,5100.02,539926.72
2024-10,5100.03,403367.81
2024-10,5100.04,461763.76
2024-10,5100.05,295759.11
2024-10,5100.06,228999.01
2024-10,5100.07,155647.7
2024-10,5100.08,65109.38
2024-10,5200.01,53366.58
2024-10,5200.02,17872.92
2024-10,5200.03,26229.97
2024-10,5300.01,266684.23
2024-10,5300.02,103040.38
2024-10,5300.03,55836.11
2024-10,5400.01,88367.63
2024-10,5400.02,64552.84
2024-10,5400.03,75636.67
2024-10,5400.04,19040.34
2024-10,6100.01,272173.74
2024-10,6100.02,58057.81
2024-10,6100.03,96950.15
2024-10,6100.04,217186.85
2024-10,6100.05,24023.82
2024-10,6100.06,182425.87
2024-10,6100.07,32216.95
2024-10,7100.01,325388.49
2024-10,7100.02,59267.33
2024-10,7100.03,328211.93
2024-10,7100.04,186290.96
2024-10,7100.05,144226.25
2024-10,7100.06,36025.69
2024-10,7100.07,69794.55
2024-10,7100.08,122497.6
2024-10,7100.09,143842.03
2024-10,7100.10,82630.08
2024-10,8100.01,169926.83
2024-10,8100.02,86289.58
2024-10,8100.03,65543.06
2024-10,8100.04,46770.1
2024-10,8100.05,84417.64
2024-10,8100.06,37185.49
2024-10,8100.07,33057.58
2024-10,8100.08,23594.85
2024-10,9100.01,6373.68
2024-10,9100.02,1442.72
2024-10,9100.03,2123.78
2024-10,9100.04,863.6
2024-10,9100.05,3531.26
2024-11,5100.01,780763.72
2024-11,5100.02,543869.25
2024-11,5100.03,406437.51
2024-11,5100.04,454794.09
2024-11,5100.05,309048.86
2024-11,5100.06,230227.24
2024-11,5100.07,153442.3
2024-11,5100.08,63142.19
2024-11,5200.01,50971.52
2024-11,5200.02,16315.44
2024-11,5200.03,25590.04
2024-11,5300.01,264834.03
2024-11,5300.02,101031.55
2024-11,5300.03,54547.88
2024-11,5400.01,93011.75
2024-11,5400.02,65932.51
2024-11,5400.03,78340.34
2024-11,5400.04,19622.44
2024-11,6100.01,294232.24
2024-11,6100.02,54783.9
2024-11,6100.03,101121.31
2024-11,6100.04,235529.96
2024-11,6100.05,23229.42
2024-11,6100.06,190419.88
2024-11,6100.07,32272.31
2024-11,7100.01,329589.86
2024-11,7100.02,56931.74
2024-11,7100.03,331217.29
2024-11,7100.04,174492.49
2024-11,7100.05,146088.48
2024-11,7100.06,41082.2
2024-11,7100.07,69566.45
2024-11,7100.08,129463.59
2024-11,7100.09,162051.52
2024-11,7100.10,84365.24
2024-11,8100.01,183145.7
2024-11,8100.02,88367.09
2024-11,8100.03,71205.22
2024-11,8100.04,48014.75
2024-11,8100.05,85832.74
2024-11,8100.06,33182.11
2024-11,8100.07,31062.05
2024-11,8100.08,26716.22
2024-11,9100.01,6695.0
2024-11,9100.02,1333.38
2024-11,9100.03,2214.9
2024-11,9100.04,895.3
2024-11,9100.05,3386.09
2024-12,5100.01,682867.88
2024-12,5100.02,466262.16
2024-12,5100.03,355126.33
2024-12,5100.04,393626.76
2024-12,5100.05,271573.59
2024-12,5100.06,204777.9
2024-12,5100.07,130619.86
2024-12,5100.08,57072.75
2024-12,5200.01,44773.66
2024-12,5200.02,15043.11
2024-12,5200.03,22844.96
2024-12,5300.01,246352.89
2024-12,5300.02,88502.62
2024-12,5300.03,48959.86
2024-12,5400.01,79651.58
2024-12,5400.02,55366.2
2024-12,5400.03,65760.62
2024-12,5400.04,17456.38
2024-12,6100.01,209620.7
2024-12,6100.02,41310.22
2024-12,6100.03,74418.71
2024-12,6100.04,185400.01
2024-12,6100.05,17991.27
2024-12,6100.06,129504.74
2024-12,6100.07,26183.39
2024-12,7100.01,287769.7
2024-12,7100.02,41840.03
2024-12,7100.03,239744.28
2024-12,7100.04,141237.59
2024-12,7100.05,127551.98
2024-12,7100.06,29381.95
2024-12,7100.07,52990.0
2024-12,7100.08,99244.48
2024-12,7100.09,120048.59
2024-12,7100.10,60967.81
2024-12,8100.01,149083.97
2024-12,8100.02,62931.78
2024-12,8100.03,49415.76
2024-12,8100.04,38361.72
2024-12,8100.05,74066.43
2024-12,8100.06,26848.87
2024-12,8100.07,23866.39
2024-12,8100.08,19971.93
2024-12,9100.01,4480.93
2024-12,9100.02,1023.96
2024-12,9100.03,1516.02
2024-12,9100.04,698.72
2024-12,9100.05,2442.0
2025-01,5100.01,843732.39
2025-01,5100.02,581277.31
2025-01,5100.03,422175.25
2025-01,5100.04,488844.27
2025-01,5100.05,325948.02
2025-01,5100.06,256270.68
2025-01,5100.07,159060.13
2025-01,5100.08,66812.36
2025-01,5200.01,55470.03
2025-01,5200.02,18280.37
2025-01,5200.03,27805.12
2025-01,5300.01,284561.68
2025-01,5300.02,104486.04
2025-01,5300.03,59789.68
2025-01,5400.01,95745.18
2025-01,5400.02,68076.42
2025-01,5400.03,84301.73
2025-01,5400.04,21054.0
2025-01,6100.01,312967.22
2025-01,6100.02,63263.74
2025-01,6100.03,103799.89
2025-01,6100.04,258297.38
2025-01,6100.05,27240.87
2025-01,6100.06,191152.27
2025-01,6100.07,38221.63
2025-01,7100.01,349370.36
2025-01,7100.02,61352.43
2025-01,7100.03,319930.74
2025-01,7100.04,205613.45
2025-01,7100.05,154856.05
2025-01,7100.06,42053.84
2025-01,7100.07,73967.12
2025-01,7100.08,126310.09
2025-01,7100.09,167479.2
2025-01,7100.10,88441.89
2025-01,8100.01,208353.12
2025-01,8100.02,89436.71
2025-01,8100.03,75986.0
2025-01,8100.04,56006.23
2025-01,8100.05,93907.53
2025-01,8100.06,38693.04
2025-01,8100.07,34549.19
2025-01,8100.08,24372.1
2025-01,9100.01,6903.09
2025-01,9100.02,1482.38
2025-01,9100.03,2195.4
2025-01,9100.04,874.93
2025-01,9100.05,3801.11
2025-02,5100.01,800752.25
2025-02,5100.02,568016.8
2025-02,5100.03,415780.72
2025-02,5100.04,468524.32
2025-02,5100.05,325467.01
2025-02,5100.06,245341.23
2025-02,5100.07,159979.63
2025-02,5100.08,68292.87
2025-02,5200.01,53822.15
2025-02,5200.02,17668.91
2025-02,5200.03,26612.85
2025-02,5300.01,290476.9
2025-02,5300.02,107204.67
2025-02,5300.03,59076.1
2025-02,5400.01,97468.29
2025-02,5400.02,65891.97
2025-02,5400.03,80829.41
2025-02,5400.04,20019.18
2025-02,6100.01,298670.22
2025-02,6100.02,62332.93
2025-02,6100.03,101835.29
2025-02,6100.04,228426.0
2025-02,6100.05,26373.89
2025-02,6100.06,186252.01
2025-02,6100.07,36320.46
2025-02,7100.01,345236.74
2025-02,7100.02,56812.96
2025-02,7100.03,332636.37
2025-02,7100.04,203333.65
2025-02,7100.05,153023.85
2025-02,7100.06,39388.31
2025-02,7100.07,73006.28
2025-02,7100.08,140312.44
2025-02,7100.09,154140.55
2025-02,7100.10,95653.68
2025-02,8100.01,183078.46
2025-02,8100.02,92036.42
2025-02,8100.03,70045.97
2025-02,8100.04,50983.85
2025-02,8100.05,94256.24
2025-02,8100.06,37883.49
2025-02,8100.07,31033.45
2025-02,8100.08,25310.13
2025-02,9100.01,7041.12
2025-02,9100.02,1520.68
2025-02,9100.03,2415.0
2025-02,9100.04,924.44
2025-02,9100.05,3520.78
2025-03,5100.01,815518.76
2025-03,5100.02,593257.1
2025-03,5100.03,425633.84
2025-03,5100.04,489820.1
2025-03,5100.05,334126.04
2025-03,5100.06,258463.2
2025-03,5100.07,160692.57
2025-03,5100.08,67743.79
2025-03,5200.01,57188.88
2025-03,5200.02,19073.15
2025-03,5200.03,28512.69
2025-03,5300.01,281019.36
2025-03,5300.02,100379.53
2025-03,5300.03,57816.04
2025-03,5400.01,99512.48
2025-03,5400.02,70885.24
2025-03,5400.03,82929.22
2025-03,5400.04,21177.1
2025-03,6100.01,307914.27
2025-03,6100.02,58309.76
2025-03,6100.03,111357.28
2025-03,6100.04,239065.97
2025-03,6100.05,26706.93
2025-03,6100.06,198320.13
2025-03,6100.07,34258.25
2025-03,7100.01,353874.01
2025-03,7100.02,63157.19
2025-03,7100.03,308950.91
2025-03,7100.04,203514.82
2025-03,7100.05,156852.26
2025-03,7100.06,43183.38
2025-03,7100.07,74470.78
2025-03,7100.08,130459.16
2025-03,7100.09,156971.98
2025-03,7100.10,96064.3
2025-03,8100.01,204638.28
2025-03,8100.02,85250.53
2025-03,8100.03,74487.47
2025-03,8100.04,49345.98
2025-03,8100.05,97695.1
2025-03,8100.06,36856.83
2025-03,8100.07,36370.59
2025-03,8100.08,27465.64
2025-03,9100.01,7085.13
2025-03,9100.02,1412.52
2025-03,9100.03,2430.34
2025-03,9100.04,979.28
2025-03,9100.05,3661.11
2025-04,5100.01,824662.18
2025-04,5100.02,593216.18
2025-04,5100.03,419092.45
2025-04,5100.04,483547.36
2025-04,5100.05,333147.82
2025-04,5100.06,251224.3
2025-04,5100.07,159920.56
2025-04,5100.08,68958.8
2025-04,5200.01,53646.04
2025-04,5200.02,18419.54
2025-04,5200.03,26166.68
2025-04,5300.01,267721.36
2025-04,5300.02,102120.49
2025-04,5300.03,55784.23
2025-04,5400.01,98713.86
2025-04,5400.02,67899.45
2025-04,5400.03,82480.68
2025-04,5400.04,20829.46
2025-04,6100.01,309278.99
2025-04,6100.02,58081.26
2025-04,6100.03,118321.66
2025-04,6100.04,246402.34
2025-04,6100.05,27854.26
2025-04,6100.06,193316.39
2025-04,6100.07,38186.95
2025-04,7100.01,350579.29
2025-04,7100.02,64428.63
2025-04,7100.03,348335.66
2025-04,7100.04,183997.33
2025-04,7100.05,155391.9
2025-04,7100.06,42056.98
2025-04,7100.07,76791.84
2025-04,7100.08,128838.23
2025-04,7100.09,171313.1
2025-04,7100.10,93245.06
2025-04,8100.01,185854.31
2025-04,8100.02,89246.78
2025-04,8100.03,77317.86
2025-04,8100.04,54015.3
2025-04,8100.05,100520.3
2025-04,8100.06,36247.57
2025-04,8100.07,32693.39
2025-04,8100.08,25056.3
2025-04,9100.01,7131.92
2025-04,9100.02,1615.41
2025-04,9100.03,2211.91
2025-04,9100.04,953.91
2025-04,9100.05,3612.22
2025-05,5100.01,815442.56
2025-05,5100.02,580180.39
2025-05,5100.03,438672.09
2025-05,5100.04,501349.34
2025-05,5100.05,323367.61
2025-05,5100.06,254725.08
2025-05,5100.07,163791.81
2025-05,5100.08,67683.32
2025-05,5200.01,57030.03
2025-05,5200.02,19022.8
2025-05,5200.03,27151.59
2025-05,5300.01,285163.14
2025-05,5300.02,106836.63
2025-05,5300.03,56980.48
2025-05,5400.01,100697.96
2025-05,5400.02,71911.18
2025-05,5400.03,82161.43
2025-05,5400.04,20996.13
2025-05,6100.01,322747.77
2025-05,6100.02,63064.17
2025-05,6100.03,114980.68
2025-05,6100.04,262252.1
2025-05,6100.05,26257.11
2025-05,6100.06,187465.95
2025-05,6100.07,35802.1
2025-05,7100.01,351807.58
2025-05,7100.02,65076.6
2025-05,7100.03,353777.02
2025-05,7100.04,213516.02
2025-05,7100.05,155936.33
2025-05,7100.06,40322.4
2025-05,7100.07,83436.6
2025-05,7100.08,128305.19
2025-05,7100.09,153488.04
2025-05,7100.10,95112.79
2025-05,8100.01,203252.15
2025-05,8100.02,87874.89
2025-05,8100.03,73038.34
2025-05,8100.04,50954.07
2025-05,8100.05,94649.09
2025-05,8100.06,39173.51
2025-05,8100.07,33459.13
2025-05,8100.08,27424.71
2025-05,9100.01,6630.9
2025-05,9100.02,1521.9
2025-05,9100.03,2320.23
2025-05,9100.04,983.09
2025-05,9100.05,3726.63
2025-06,5100.01,842378.54
2025-06,5100.02,572500.93
2025-06,5100.03,417207.49
2025-06,5100.04,476692.73
2025-06,5100.05,314667.11
2025-06,5100.06,252994.14
2025-06,5100.07,157166.35
2025-06,5100.08,67540.66
2025-06,5200.01,53520.06
2025-06,5200.02,18227.76
2025-06,5200.03,27739.22
2025-06,5300.01,274891.75
2025-06,5300.02,98871.72
2025-06,5300.03,57549.21
2025-06,5400.01,103171.54
2025-06,5400.02,71495.95
2025-06,5400.03,83950.4
2025-06,5400.04,20984.03
2025-06,6100.01,299092.6
2025-06,6100.02,57787.54
2025-06,6100.03,107500.99
2025-06,6100.04,226738.2
2025-06,6100.05,27341.73
2025-06,6100.06,184608.97
2025-06,6100.07,34689.63
2025-06,7100.01,348191.01
2025-06,7100.02,61302.14
2025-06,7100.03,342147.74
2025-06,7100.04,200588.02
2025-06,7100.05,154333.31
2025-06,7100.06,41573.65
2025-06,7100.07,83801.6
2025-06,7100.08,141733.16
2025-06,7100.09,160508.2
2025-06,7100.10,89641.99
2025-06,8100.01,207961.83
2025-06,8100.02,83727.24
2025-06,8100.03,77194.3
2025-06,8100.04,52856.88
2025-06,8100.05,96235.26
2025-06,8100.06,39058.65
2025-06,8100.07,34190.81
2025-06,8100.08,26417.58
2025-06,9100.01,6725.1
2025-06,9100.02,1397.11
2025-06,9100.03,2183.08
2025-06,9100.04,925.7
2025-06,9100.05,3646.51
2025-07,5100.01,806126.78
2025-07,5100.02,547662.13
2025-07,5100.03,406816.59
2025-07,5100.04,468560.76
2025-07,5100.05,301975.14
2025-07,5100.06,238910.49
2025-07,5100.07,151803.82
2025-07,5100.08,66932.68
2025-07,5200.01,53081.02
2025-07,5200.02,18015.15
2025-07,5200.03,26047.57
2025-07,5300.01,261448.63
2025-07,5300.02,98963.83
2025-07,5300.03,53928.46
2025-07,5400.01,91175.6
2025-07,5400.02,64708.49
2025-07,5400.03,77876.06
2025-07,5400.04,19338.7
2025-07,6100.01,278126.39
2025-07,6100.02,56698.41
2025-07,6100.03,94644.92
2025-07,6100.04,221143.57
2025-07,6100.05,23030.14
2025-07,6100.06,176609.07
2025-07,6100.07,34678.0
2025-07,7100.01,333687.15
2025-07,7100.02,57434.07
2025-07,7100.03,310344.86
2025-07,7100.04,169083.37
2025-07,7100.05,147904.57
2025-07,7100.06,35370.42
2025-07,7100.07,71385.53
2025-07,7100.08,120668.58
2025-07,7100.09,146204.97
2025-07,7100.10,80723.97
2025-07,8100.01,188299.52
2025-07,8100.02,82402.9
2025-07,8100.03,69799.74
2025-07,8100.04,47047.46
2025-07,8100.05,87401.35
2025-07,8100.06,35741.52
2025-07,8100.07,32877.97
2025-07,8100.08,24240.78
2025-07,9100.01,6150.43
2025-07,9100.02,1294.08
2025-07,9100.03,2177.57
2025-07,9100.04,812.74
2025-07,9100.05,3543.33
2025-08,5100.01,757896.33
2025-08,5100.02,522745.43
2025-08,5100.03,400063.7
2025-08,5100.04,446875.42
2025-08,5100.05,301148.35
2025-08,5100.06,224632.57
2025-08,5100.07,146136.85
2025-08,5100.08,62097.53
2025-08,5200.01,46908.72
2025-08,5200.02,15320.22
2025-08,5200.03,23267.99
2025-08,5300.01,264876.54
2025-08,5300.02,97508.62
2025-08,5300.03,52162.7
2025-08,5400.01,94994.72
2025-08,5400.02,63780.46
2025-08,5400.03,78225.39
2025-08,5400.04,19615.34
2025-08,6100.01,260305.87
2025-08,6100.02,49265.94
2025-08,6100.03,97270.53
2025-08,6100.04,205818.48
2025-08,6100.05,23284.02
2025-08,6100.06,168227.15
2025-08,6100.07,31650.95
2025-08,7100.01,321440.6
2025-08,7100.02,55569.31
2025-08,7100.03,268014.12
2025-08,7100.04,163563.17
2025-08,7100.05,142476.38
2025-08,7100.06,37204.68
2025-08,7100.07,64188.09
2025-08,7100.08,125574.35
2025-08,7100.09,144053.34
2025-08,7100.10,83515.75
2025-08,8100.01,167727.93
2025-08,8100.02,84559.95
2025-08,8100.03,58198.48
2025-08,8100.04,45603.85
2025-08,8100.05,81414.61
2025-08,8100.06,33921.81
2025-08,8100.07,30239.64
2025-08,8100.08,23817.08
2025-08,9100.01,5865.03
2025-08,9100.02,1381.22
2025-08,9100.03,1878.54
2025-08,9100.04,819.42
2025-08,9100.05,3342.99
2025-09,5100.01,833357.73
2025-09,5100.02,550261.84
2025-09,5100.03,414900.75
2025-09,5100.04,474429.36
2025-09,5100.05,316484.6
2025-09,5100.06,238869.67
2025-09,5100.07,158705.05
2025-09,5100.08,67642.74
2025-09,5200.01,55013.61
2025-09,5200.02,18194.84
2025-09,5200.03,28229.97
2025-09,5300.01,272423.48
2025-09,5300.02,103728.58
2025-09,5300.03,57326.94
2025-09,5400.01,103293.79
2025-09,5400.02,71720.53
2025-09,5400.03,83540.61
2025-09,5400.04,21894.54
2025-09,6100.01,332915.18
2025-09,6100.02,70322.0
2025-09,6100.03,117932.58
2025-09,6100.04,273024.07
2025-09,6100.05,30522.49
2025-09,6100.06,219726.53
2025-09,6100.07,37415.43
2025-09,7100.01,342863.72
2025-09,7100.02,66372.88
2025-09,7100.03,346288.37
2025-09,7100.04,214927.79
2025-09,7100.05,151972.03
2025-09,7100.06,48402.6
2025-09,7100.07,83621.1
2025-09,7100.08,138086.46
2025-09,7100.09,175021.75
2025-09,7100.10,98163.69
2025-09,8100.01,218574.19
2025-09,8100.02,97737.8
2025-09,8100.03,73501.12
2025-09,8100.04,58081.4
2025-09,8100.05,109547.72
2025-09,8100.06,43899.51
2025-09,8100.07,33769.31
2025-09,8100.08,26367.34
2025-09,9100.01,7278.5
2025-09,9100.02,1531.22
2025-09,9100.03,2582.62
2025-09,9100.04,1068.18
2025-09,9100.05,4402.82
2025-10,5100.01,680810.07
2025-10,5100.02,470425.53
2025-10,5100.03,355073.11
2025-10,5100.04,406180.16
2025-10,5100.05,260695.92
2025-10,5100.06,202889.12
2025-10,5100.07,132526.04
2025-10,5100.08,57802.31
2025-10,5200.01,46429.43
2025-10,5200.02,15692.08
2025-10,5200.03,23280.11
2025-10,5300.01,252915.47
2025-10,5300.02,98829.34
2025-10,5300.03,53510.58
2025-10,5400.01,91625.2
2025-10,5400.02,63525.94
2025-10,5400.03,73613.66
2025-10,5400.04,18752.55
2025-10,6100.01,243035.99
2025-10,6100.02,48666.53
2025-10,6100.03,93055.18
2025-10,6100.04,216485.86
2025-10,6100.05,22898.0
2025-10,6100.06,159769.95
2025-10,6100.07,29577.14
2025-10,7100.01,288843.1
2025-10,7100.02,50978.88
2025-10,7100.03,290369.5
2025-10,7100.04,164907.64
2025-10,7100.05,128027.75
2025-10,7100.06,33442.7
2025-10,7100.07,68554.81
2025-10,7100.08,110866.94
2025-10,7100.09,137862.71
2025-10,7100.10,78961.29
2025-10,8100.01,158674.75
2025-10,8100.02,77640.6
2025-10,8100.03,57578.54
2025-10,8100.04,43967.8
2025-10,8100.05,77398.62
2025-10,8100.06,32153.04
2025-10,8100.07,29450.54
2025-10,8100.08,23215.47
2025-10,9100.01,5336.59
2025-10,9100.02,1342.9
2025-10,9100.03,1807.76
2025-10,9100.04,722.1
2025-10,9100.05,3364.25
2025-11,5100.01,689261.57
2025-11,5100.02,484734.31
2025-11,5100.03,355156.95
2025-11,5100.04,400028.96
2025-11,5100.05,269998.17
2025-11,5100.06,211028.97
2025-11,5100.07,136258.31
2025-11,5100.08,57490.07
2025-11,5200.01,41723.68
2025-11,5200.02,13694.27
2025-11,5200.03,21026.13
2025-11,5300.01,243052.75
2025-11,5300.02,89725.89
2025-11,5300.03,50243.11
2025-11,5400.01,91425.08
2025-11,5400.02,61058.81
2025-11,5400.03,73704.33
2025-11,5400.04,18392.56
2025-11,6100.01,261096.1
2025-11,6100.02,52162.06
2025-11,6100.03,96507.13
2025-11,6100.04,201065.36
2025-11,6100.05,20188.95
2025-11,6100.06,155636.77
2025-11,6100.07,29653.5
2025-11,7100.01,288728.92
2025-11,7100.02,47466.85
2025-11,7100.03,291634.67
2025-11,7100.04,169967.71
2025-11,7100.05,127977.14
2025-11,7100.06,34465.13
2025-11,7100.07,68439.03
2025-11,7100.08,105956.89
2025-11,7100.09,140550.84
2025-11,7100.10,78774.65
2025-11,8100.01,175358.03
2025-11,8100.02,77031.61
2025-11,8100.03,55821.32
2025-11,8100.04,45269.69
2025-11,8100.05,80628.64
2025-11,8100.06,32281.09
2025-11,8100.07,28192.98
2025-11,8100.08,20116.14
2025-11,9100.01,5840.3
2025-11,9100.02,1285.92
2025-11,9100.03,1901.09
2025-11,9100.04,728.79
2025-11,9100.05,3104.85
2025-12,5100.01,569244.25
2025-12,5100.02,406815.07
2025-12,5100.03,305412.65
2025-12,5100.04,340607.28
2025-12,5100.05,230724.13
2025-12,5100.06,174666.82
2025-12,5100.07,117529.38
2025-12,5100.08,48058.84
2025-12,5200.01,39299.15
2025-12,5200.02,13191.22
2025-12,5200.03,19837.98
2025-12,5300.01,212662.84
2025-12,5300.02,78195.32
2025-12,5300.03,43305.95
2025-12,5400.01,76258.72
2025-12,5400.02,52377.18
2025-12,5400.03,65255.75
2025-12,5400.04,16367.56
2025-12,6100.01,173046.77
2025-12,6100.02,35444.53
2025-12,6100.03,63907.97
2025-12,6100.04,139065.74
2025-12,6100.05,16406.94
2025-12,6100.06,109546.71
2025-12,6100.07,20681.25
2025-12,7100.01,246990.11
2025-12,7100.02,33823.02
2025-12,7100.03,202192.32
2025-12,7100.04,116081.6
2025-12,7100.05,109476.7
2025-12,7100.06,24740.92
2025-12,7100.07,44841.36
2025-12,7100.08,81324.42
2025-12,7100.09,99168.17
2025-12,7100.10,51036.82
2025-12,8100.01,110649.25
2025-12,8100.02,53830.45
2025-12,8100.03,40908.22
2025-12,8100.04,32263.62
2025-12,8100.05,59886.39
2025-12,8100.06,23917.18
2025-12,8100.07,21078.33
2025-12,8100.08,16183.14
